ts,replicate,xmin,alpha,ks,n_tail,tail_fraction,centered_ks
64,137,5,2.5982196820042662,0.005884570856144911,403657,0.011173380285167733,0.005350173522084722
64,138,5,2.5820787498953877,0.007599127330278621,402032,0.011167587817475916,0.0019241372527596945
64,139,6,2.600484540133926,0.006440523919988506,292977,0.008037939859692644,0.00767929157778513
64,140,5,2.537825020618198,0.0067034453486809475,415453,0.011938576989371539,0.005506334631954046
64,141,5,2.5425924044380026,0.01106085337028917,414362,0.011799035904165388,0.00552400062818259
64,142,5,2.549484920652266,0.010341143920162277,397470,0.011386436673269771,0.0038852878282822356
64,143,5,2.57115037767783,0.005448017968747498,431795,0.011819136109138038,0.0025201636378490433
64,144,5,2.520846838406522,0.006770917617157757,457371,0.01261392205271255,0.008084142418528117
64,145,5,2.5130577567459875,0.011174429529879126,405733,0.011472563772878792,0.005309444860217005
64,146,5,2.519858623934247,0.008130880452828615,438474,0.01193336362981703,0.0019411578886439074
64,147,6,2.5147187519644922,0.005368607417236992,286258,0.008133304617769517,0.00430752379208077
64,148,6,2.5355980765415627,0.007319686658069813,286568,0.008080200176746625,0.0020589641504885625
64,149,5,2.5462669374900893,0.009225389502842019,429939,0.011977328213849822,0.0034458283937123246
